Stationscode;Stationsname;Netzwerk;Schadstoff;Datentyp;Zeit;"Messwert (in �g/m�)"
DEBY004;"Kleinwallstadt/Hofstetter Stra�e";BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";106
DEHB002;Bremen-Ost;HB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";54
DEMV012;L�cknitz;MV;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";59
DENW038;M�lheim-Styrum;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";66
DERP025;W�rth-Marktplatz;RP;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";97
DESN082;Leipzig-Thekla;SN;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";82
DEUB005;Waldhof;UB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";73
DEBE056;"B Friedrichshagen";BE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";64
DEBY013;Mehring/Sportplatz;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";101
DEHE001;Darmstadt;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";84
DEMV021;Rostock-Warnem�nde;MV;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";71
DENW058;H�rth;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";77
DERP060;Pirmasens-Innenstadt;RP;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";86
DEST011;Wernigerode/Bahnhof;ST;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";81
DEUB030;Neuglobsow;UB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";66
DEBW009;Heidelberg;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";103
DEBY030;"Saal a.d. Donau/Regensburger Stra�e";BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";99
DEHE011;Hanau;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";101
DENI011;Braunschweig;NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";69
DENW067;Bielefeld-Ost;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";76
DESL011;Saarbr�cken-Eschberg;SL;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";98
DEST039;Brocken;ST;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";89
DETH117;"Erfurt Bautzener Weg";TH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";89
DEBW015;Heilbronn;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";95
DEBY047;"Naila/Selbitzer Berg";BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";87
DEHE020;Wetzlar;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";81
DENI029;Ostfriesland;NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";63
DENW074;Niederzier;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";75
DESL019;Biringen;SL;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";85
DEST066;Wittenberg/Bahnstrasse;ST;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";83
DEBW023;"Weil am Rhein";BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";119
