Stationscode;Stationsname;Netzwerk;Schadstoff;Datentyp;Zeit;"Messwert (in �g/m�)"
DERP024;Koblenz-Friedrich-Ebert-Ring;RP;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";78
DESN081;Plauen-DWD;SN;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";74
DEUB004;Schauinsland;UB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";93
DEBE051;"B Buch";BE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";66
DEBY007;Augsburg/Bourges-Platz;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";83
DEHB013;Bremen-Hasenb�ren;HB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";63
DEMV019;G�strow;MV;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";60
DENW053;K�ln-Chorweiler;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";64
DERP053;Speyer-Nord;RP;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";82
DEST002;Burg;ST;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";71
DEUB029;Schm�cke;UB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";90
DEBW005;Mannheim-Nord;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";111
DEBY026;"Vohburg a.d. Donau/Alter W�hrer Weg";BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";90
DEHE008;Frankfurt-Ost;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";88
DEMV026;Garz;MV;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";69
DENW065;"Netphen (Rothaargebirge)";NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";85
DESL003;"Dillingen City";SL;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";93
DEST028;Zeitz;ST;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";85
DESN104;"Chemnitz Hans-Link-Stra�e";SN;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";85
DEBW013;"Stuttgart Bad Cannstatt";BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";103
DEBY039;M�nchen/Lothstra�e;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";86
DEHE018;Raunheim;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";104
DENI020;Wolfsburg;NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";66
DENW071;D�sseldorf-L�rick;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";87
DESL017;"V�lklingen-City Stadionstr.";SL;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";101
DEST050;Halle/Nord;ST;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";83
DESH057;Kiel-Bremerskamp;SH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";69
DEBW022;Kehl;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";111
DEBY052;Neu-Ulm/Gabelsbergerstra�e;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";73
DEHE024;Witzenhausen/Wald;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";78
DENI038;Osnabr�ck;NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";74
DENW079;Leverkusen-Manfort;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";63
DESH008;Bornh�ved;SH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";70
DEST089;Zartau/Waldstation;ST;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";61
